"term","med","med_sd","min","max","justice","just_pr","CEHughes2","JCMcReynolds","LDBrandeis","GSutherland","PButler","HFStone","OJRoberts","BNCardozo","HLBlack","SFReed","FFrankfurter","WODouglas","FMurphy","JFByrnes","RHJackson","WBRutledge","HHBurton","FMVinson","TCClark","SMinton","EWarren","JHarlan2","WJBrennan","CEWhittaker","PStewart","BRWhite","AJGoldberg","AFortas","TMarshall","WEBurger","HABlackmun","LFPowell","WHRehnquist","JPStevens","SDOConnor","AScalia","AMKennedy","DHSouter","CThomas","RBGinsburg","SGBreyer","JGRoberts","SAAlito","SSotomayor","EKagan"
"1962",-1.026,0.734,-6.299,2.522,"AJGoldberg",0.633,,,,,,,,,0.0043,,,0,,,,,,,0,,0.0269,0,0.335,,0,0.0006,0.6332,,,,,,,,,,,,,,,,,,
"1963",-1.043,0.77,-6.488,2.585,"WJBrennan",0.563,,,,,,,,,0.0774,,,0,,,,,,,0,,0.0402,0,0.5627,,0,0,0.3197,,,,,,,,,,,,,,,,,,
"1964",-0.703,0.792,-6.71,2.405,"AJGoldberg",0.385,,,,,,,,,0.3812,,,0,,,,,,,0.0099,,0.0125,0,0.1984,,0,0.013,0.385,,,,,,,,,,,,,,,,,,
"1965",-0.538,0.811,-6.916,2.332,"HLBlack",0.894,,,,,,,,,0.8942,,,0,,,,,,,0.0147,,0.0021,0,0.022,,0,0.0655,,0.0015,,,,,,,,,,,,,,,,,
"1966",-0.422,0.84,-7.072,2.054,"HLBlack",0.982,,,,,,,,,0.9817,,,0,,,,,,,0.0015,,0,0,0.0003,,0,0.0165,,0,,,,,,,,,,,,,,,,,
"1967",-1.116,0.874,-7.215,1.476,"TMarshall",0.408,,,,,,,,,0,,,0,,,,,,,,,0.2449,0,0.2543,,0,0,,0.0928,0.408,,,,,,,,,,,,,,,,
"1968",-0.981,0.903,-7.321,0.781,"WJBrennan",0.394,,,,,,,,,0,,,0,,,,,,,,,0.1079,0,0.3938,,0,0,,0.2127,0.2856,,,,,,,,,,,,,,,,
"1969",0.178,0.935,-7.386,2.096,"BRWhite",0.475,,,,,,,,,0.4311,,,0,,,,,,,,,,0.0111,0,,0.0827,0.475,,,0,0,0.0001,,,,,,,,,,,,,,
"1970",0.396,0.962,-7.451,2.24,"BRWhite",0.487,,,,,,,,,0.0272,,,0,,,,,,,,,,0.1145,0,,0.371,0.4873,,,0,0,0,,,,,,,,,,,,,,
"1971",0.665,0.988,-7.52,3.641,"BRWhite",0.996,,,,,,,,,,,,0,,,,,,,,,,,0,,0.0016,0.9957,,,0,0,0,0.0027,0,,,,,,,,,,,,
"1972",0.964,1.024,-7.55,4.049,"BRWhite",0.804,,,,,,,,,,,,0,,,,,,,,,,,0,,0,0.8044,,,0,0,0.0109,0.1847,0,,,,,,,,,,,,
"1973",0.619,1.055,-7.595,4.304,"BRWhite",0.65,,,,,,,,,,,,0,,,,,,,,,,,0,,0.3454,0.6505,,,0,0,0.0002,0.0039,0,,,,,,,,,,,,
"1974",0.626,1.081,-7.649,4.392,"BRWhite",0.811,,,,,,,,,,,,0,,,,,,,,,,,0,,0.1329,0.8111,,,0,0,0.0363,0.0197,0,,,,,,,,,,,,
"1975",0.5,1.124,-7.66,4.511,"PStewart",0.458,,,,,,,,,,,,0,,,,,,,,,,,0,,0.4578,0.4515,,,0,0,0.0465,0.0157,0,0.0285,,,,,,,,,,,
"1976",0.484,0.302,-2.814,4.485,"PStewart",0.459,,,,,,,,,,,,,,,,,,,,,,,0,,0.4593,0.2146,,,0,0,0.2292,0.0967,0,0.0002,,,,,,,,,,,
"1977",0.221,0.304,-2.968,4.466,"HABlackmun",0.403,,,,,,,,,,,,,,,,,,,,,,,0,,0.3347,0.0985,,,0,0,0.4028,0.0982,0,0.0658,,,,,,,,,,,
"1978",0.151,0.325,-3.134,4.485,"HABlackmun",0.793,,,,,,,,,,,,,,,,,,,,,,,0,,0.0406,0.1588,,,0,0,0.7934,0.0002,0,0.007,,,,,,,,,,,
"1979",0.215,0.362,-3.358,4.499,"BRWhite",0.776,,,,,,,,,,,,,,,,,,,,,,,0,,0.1139,0.7764,,,0,0,0.1058,0.0008,0,0.0031,,,,,,,,,,,
"1980",0.18,0.405,-3.493,4.338,"BRWhite",0.878,,,,,,,,,,,,,,,,,,,,,,,0,,0.0164,0.878,,,0,0,0.0944,0.001,0,0.0102,,,,,,,,,,,
"1981",0.185,0.424,-3.613,4.182,"BRWhite",0.986,,,,,,,,,,,,,,,,,,,,,,,0,,,0.9865,,,0,0,0.0093,0,0,0.0042,0,,,,,,,,,,
"1982",0.598,0.438,-3.761,4.086,"BRWhite",0.994,,,,,,,,,,,,,,,,,,,,,,,0,,,0.994,,,0,0.0002,0,0.0058,0,0,0,,,,,,,,,,
"1983",0.795,0.455,-3.831,3.986,"BRWhite",0.838,,,,,,,,,,,,,,,,,,,,,,,0,,,0.8384,,,0,0,0,0.1616,0,0,0,,,,,,,,,,
"1984",0.741,0.467,-3.904,3.757,"LFPowell",0.809,,,,,,,,,,,,,,,,,,,,,,,0,,,0.1894,,,0,0,0,0.8094,0,0,0.0012,,,,,,,,,,
"1985",0.832,0.482,-3.994,3.533,"LFPowell",0.898,,,,,,,,,,,,,,,,,,,,,,,0,,,0.0692,,,0,0,0,0.898,0,0,0.0328,,,,,,,,,,
"1986",0.801,0.482,-4.206,3.269,"LFPowell",0.944,,,,,,,,,,,,,,,,,,,,,,,0,,,0.043,,,0,,0,0.9438,0,0,0.0048,0.0084,,,,,,,,,
"1987",0.929,0.506,-4.372,2.827,"BRWhite",0.736,,,,,,,,,,,,,,,,,,,,,,,0,,,0.7356,,,0,,0,,0,0,0.0089,0.0031,0.2524,,,,,,,,
"1988",1.049,0.53,-4.468,2.719,"BRWhite",0.892,,,,,,,,,,,,,,,,,,,,,,,0,,,0.8918,,,0,,0,,0,0,0.0458,0.0032,0.0592,,,,,,,,
"1989",0.819,0.572,-4.465,2.593,"BRWhite",0.98,,,,,,,,,,,,,,,,,,,,,,,0,,,0.9803,,,0,,0,,0,0,0.0035,0,0.0162,,,,,,,,
"1990",0.928,0.693,-4.269,2.454,"DHSouter",0.53,,,,,,,,,,,,,,,,,,,,,,,,,,0.0784,,,0,,0,,0,0,0.2557,0,0.1358,0.5301,,,,,,,
"1991",0.767,0.298,-2.21,2.883,"SDOConnor",0.304,,,,,,,,,,,,,,,,,,,,,,,,,,0.2196,,,,,0,,0,0,0.3045,0,0.2275,0.2484,0,,,,,,
"1992",0.838,0.336,-2.406,3.106,"SDOConnor",0.602,,,,,,,,,,,,,,,,,,,,,,,,,,0.1568,,,,,0,,0.0001,0,0.6021,0,0.236,0.005,0,,,,,,
"1993",0.82,0.363,-2.622,3.433,"AMKennedy",0.676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0002,0,0.3231,0,0.6765,0,0,0.0002,,,,,
"1994",0.728,0.392,-3.01,3.644,"SDOConnor",0.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.5311,0,0.4688,0,0,0,0.0001,,,,
"1995",0.654,0.403,-3.261,3.743,"AMKennedy",0.678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.3219,0,0.678,0.0001,0,0,0,,,,
"1996",0.79,0.416,-3.371,3.831,"AMKennedy",0.681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007,0,0.318,0,0.6813,0,0,0,0,,,,
"1997",0.786,0.434,-3.339,3.85,"AMKennedy",0.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012,0,0.1843,0,0.8145,0,0,0,0,,,,
"1998",0.827,0.431,-3.339,3.869,"AMKennedy",0.568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002,0,0.4322,0,0.5676,0,0,0,0,,,,
"1999",0.83,0.43,-3.295,3.856,"SDOConnor",0.751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013,0,0.751,0,0.2477,0,0,0,0,,,,
"2000",0.577,0.443,-3.125,3.88,"SDOConnor",0.915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,0,0.915,0,0.0849,0,0,0,0,,,,
"2001",0.361,0.447,-3.023,3.812,"SDOConnor",0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,0,0.9941,0,0.0058,0,0,0,0,,,,
"2002",0.25,0.446,-2.906,3.881,"SDOConnor",0.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007,0,0.9854,0,0.0139,0,0,0,0,,,,
"2003",0.192,0.439,-2.885,3.888,"SDOConnor",0.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.9781,0,0.0219,0,0,0,0,,,,
"2004",0.106,0.431,-2.867,3.925,"SDOConnor",0.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,0,0.9308,0,0.069,0,0,0,0.0001,,,,
"2005a",0.041,0.442,-2.813,3.952,"SDOConnor",0.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.853,0,0.1457,0,0,0,0.0008,0.0005,,,
"2005b",0.485,0.442,-2.813,3.952,"AMKennedy",0.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.9847,0,0,0,0,0.006,0.0093,,
"2006",0.444,0.444,-2.786,3.912,"AMKennedy",0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.9986,0,0,0,0,0.0005,0.0009,,
"2007",0.395,0.455,-2.669,3.77,"AMKennedy",0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.999,0,0,0,0,0.0006,0.0004,,
"2008",0.554,0.464,-2.829,3.522,"AMKennedy",0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.9989,0,0,0,0,0.001,0.0001,,
"2009",0.517,0.517,-2.836,3.382,"AMKennedy",0.997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0.9973,,0,0,0,0.0026,0.0001,0,
"2010",0.579,0.306,-2.097,3.21,"AMKennedy",0.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.995,,0,0,0,0.005,0,0,0
"2011",0.295,0.336,-2.339,3.168,"AMKennedy",0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9991,,0,0,0,0.0009,0,0,0
"2012",0.233,0.344,-2.483,3.111,"AMKennedy",0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9986,,0,0,0,0.0014,0,0,0
"2013",0.039,0.366,-2.563,3.128,"AMKennedy",0.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0001,0.9909,,0,0,0,0.009,0,0,0
"2014",-0.29,0.398,-2.692,3.119,"AMKennedy",0.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9991,,0,0,0,0.0008,0,0,0.0001
"2015",-0.449,0.445,-2.778,3.139,"AMKennedy",0.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9681,,0,0,0.0084,0.018,0,0.0001,0.0054
